用户ID,用户名,所在地,性别,认证状态,认证类型,认证理由,个人描述,信用等级,公司,学校,生日,创建时间,粉丝数,关注数,微博数,获评转赞总数,获评论数,获转发数,获点赞数
7422884048,乒乓球馆,其他,男,未认证,普通用户,无,“做一名高认知赌Go”  领域涉猎：AI大时代，web3.0，硬科技，中美博弈，外汇黄金，财经分析,信用较好,未知,未知,射手座,2020-03-28 20:55:37,23692,7,1357,3.4万,"9,548","1,282","22,892"
2335245863,乘着风乘着,陕西 西安,男,未认证,普通用户,无,,信用较好,西安国企,未知,1967-12-29 摩羯座,2011-09-01 13:38:18,431,3565,23218,864,202,260,402
7770622428,九卿观世界,江苏 常州,男,未认证,普通用户,无,品人间百态、论世事繁华、看人间风景、坐井中观天,信用一般,未知,未知,处女座,2022-06-30 20:58:22,33,138,759,1175,137,35,"1,003"
5325269029,九月莺,湖南 长沙,女,未认证,普通用户,无,打击一切精日、美国狗、恨国党！！！,信用较好,未知,未知,1999-05-19 金牛座,2014-11-16 11:39:47,102,100,459,2364,324,73,"1,967"
3919509881,习惯做饿梦,广东 揭阳,男,未认证,普通用户,无,,信用较好,未知,未知,1999-01-10 摩羯座,2013-11-28 09:10:49,29,5097,3114,406,204,0,202
7148688246,买橙子的小龙女,上海 青浦区,女,未认证,普通用户,无,不悔梦归处，只恨太匆匆,信用较好,工商银行,复旦大学, ,2019-05-19 11:51:43,106,239,21306,670,133,19,518
5852375855,争做时代青年,其他,女,未认证,普通用户,无,略略略略略😜,信用较好,未知,未知,1900-01-01 摩羯座,2016-02-07 10:54:33,156,212,305,559,181,2,376
6106623729,事实是主观的哈,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2017-02-04 09:40:35,190,1040,6006,608,273,33,302
5063386972,二十二画先森,湖南,男,未认证,普通用户,无,"Life,just smile.",信用较好,未知,中南大学,1994-10-04 天秤座,2014-03-08 12:25:20,175,189,267,65,10,0,55
7373546593,二十啷当a,海南,男,未认证,普通用户,无,,信用较低,未知,未知,天蝎座,2020-01-17 09:49:58,1,2,0,0,0,0,0
2489300441,二蛋有深度,吉林 长春,男,未认证,普通用户,无,,信用较好,未知,未知,1996-01-01 摩羯座,2011-11-24 12:54:05,44,210,60,58,16,2,40
75585423,云之峰,河北 沧州,男,未认证,普通用户,无,正信企业管理咨询公司顾问,信用较好,商业　流通　营销　教练　培训,北京师范大学,白羊座,2010-03-15 17:04:39,568,743,2325,538,192,123,223
5249394305,云在南方高天流云,云南,女,未认证,普通用户,无,,信用较好,未知,未知, ,2014-08-12 21:36:05,626,5426,56028,2418,298,372,"1,748"
6638294619,云朵咬麻花yy,北京,女,未认证,普通用户,无,正在努力成为一个很哇塞的人.ing,信用较好,未知,未知,水瓶座,2018-08-15 19:26:44,12,128,208,204,93,2,109
3382505070,互联网用户名,重庆 江北区,男,未认证,普通用户,无,,信用较好,未知,未知, ,2013-04-28 21:54:01,77,34,769,86,22,3,61
1681293932,五洲红,北京 海淀区,男,已认证,名人,马拉松运动员,酷爱跑步，从事跑步领域，易启跑&EPK APP创始人 专注打造企业长期运动文化和团队精神的平台,信用极好,信息技术,未知,1978-12-02 射手座,2010-01-13 09:40:33,222866,3711,36714,7.5万,"23,639","41,959","9,571"
2219125637,亦羽非羽,上海 浦东新区,男,未认证,未知,无,曼联的新的一页。谢谢老爵爷。,信用较好,未知,未知,1984-07-17 巨蟹座,2011-07-05 23:07:06,452,740,41120,2666,798,"1,235",633
6443966727,人生还是很美,广西,女,未认证,普通用户,无,,信用较好,未知,未知, ,2018-01-02 19:16:32,160,837,23125,1531,127,"1,072",332
5213707350,人超16,北京 东城区,男,未认证,普通用户,无,,信用较好,未知,未知,1966-06-06 双子座,2014-07-12 15:06:05,96,237,2381,66,54,0,12
1856740531,人间妲己_Dylan,福建,女,未认证,普通用户,无,别来沾边！,信用较好,未知,未知,处女座,2010-11-12 22:09:06,340,289,9841,9100,"3,251",231,"5,618"
7529243602,人间清醒3228,其他,男,未认证,普通用户,无,没有任何立场，国家的立场就是我的立场。作为老百姓能做的就是支持国家的决策。作为中国人很自豪很自信🇨🇳🇨🇳搞地域黑地域攻击不是蠢就是坏,信用较好,未知,未知, ,2020-11-30 17:44:46,71,229,2861,1048,111,291,646
6501538158,人间绝色张卫健,海外 其他,女,未认证,普通用户,无,人只能自救/远离嗑药鸡/杂食/镇魂,信用较好,未知,未知,狮子座,2018-03-09 20:40:46,539,1191,4521,4199,849,340,"3,010"
3805579081,什么漪漪,海外,女,未认证,普通用户,无,🌷🌷🌷,信用较好,永远去尝试和体验这个世界,未知,2000-03-27 白羊座,2013-09-18 22:54:48,996,1459,1674,1.3万,"3,453",32,"9,325"
7299141434,今天明天天天都超顺利哒,北京,女,未认证,普通用户,无,乱七八糟的小号日记（镇魂）,信用较好,未知,未知,2001-02-05 水瓶座,2019-09-03 17:25:57,12,131,534,201,109,3,89
5949098020,今天有好好进行光合作用吗,海外 其他,女,未认证,普通用户,无,☕🍾🍹,信用较好,未知,未知,金牛座,2016-06-09 23:23:09,16,316,1938,1214,336,36,842
7632130013,今日欢呼孙大圣__,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2021-06-23 10:00:36,31,254,188,31,7,0,24
5580293173,从此不要感冒,其他,女,未认证,普通用户,无,我是个傻瓜,信用较好,未知,未知, ,2015-07-10 01:11:06,29,9,32,3,3,0,0
7207527256,他说随便都可以,湖北 武汉,女,未认证,普通用户,无,寻即赴往，心之所向。,信用较好,未知,未知,狮子座,2019-06-25 09:47:27,17,255,3011,1866,425,60,"1,381"
6335222350,代谟Deimo,河南,女,未认证,普通用户,无,不要关注了一会就取关，误关联系我移除，谢谢,信用较好,未知,未知,1999-03-26 白羊座,2017-08-02 16:10:54,137,792,751,2929,"1,006",53,"1,870"
5710488485,仪神仪鬼szd,四川 成都,女,未认证,普通用户,无,静候蜕变,信用较好,未知,未知,1995-12-22 摩羯座,2015-09-24 18:42:59,272,2346,146670,2660,656,29,"1,975"
2720133464,何妨新桃换旧符,北京,女,未认证,普通用户,无,hey,信用较好,未知,未知,狮子座,2012-03-31 21:40:26,9,1103,4938,775,138,28,609
1602825071,何明家-佑恩她爹,陕西 西安,男,已认证,名人,陕西师范大学新闻与文化传播学院播音系教师 何明家,陕西师范大学新闻与传播学院播音与主持艺术系教师,信用极好,陕西师大,陕西师范大学,1975-09-26 天秤座,2010-01-04 13:50:53,10095,5437,14206,3.3万,"11,833","12,052","9,204"
5994593800,余泡泡ooOO,广东 深圳,男,未认证,普通用户,无,一只勇敢看世界的土狗∪･ω･∪,信用较好,未知,华中科技大学,白羊座,2016-08-03 13:22:17,9,84,77,23,14,4,5
5881903977,你不需要很特别,其他,女,未认证,普通用户,无,不借钱，谁会在微博借钱？？在微博借钱的都是骗子！,信用较好,未知,未知, ,2016-03-15 16:19:37,75,885,1197,923,379,2,542
6856177516,你悄悄跟我说,香港 其他,女,未认证,普通用户,无,醉里论道 醒时折花,信用较好,未知,未知,天秤座,2018-11-17 16:11:44,38,216,1873,4643,"2,176",18,"2,449"
3689011883,你有没有在路上看到我的花,其他,女,未认证,普通用户,无,爱我所爱的人间,信用较好,未知,未知,狮子座,2013-08-01 18:15:21,1433,619,13453,2.8万,"8,080","1,168","18,954"
6084304518,你的高冷继父,山东,男,未认证,普通用户,无,来日并不方长,信用较好,未知,未知,2001-12-23 摩羯座,2016-12-08 21:52:08,1105,557,242,920,334,2,584
7765023678,侧影伴风的人,其他,男,未认证,普通用户,无,他欲临而又去，是用侧影伴风的人,信用较好,未知,未知, ,2022-05-31 11:27:15,30,1063,1492,319,54,3,262
7791181805,俗人居士专用,其他,男,未认证,普通用户,无,批判看待，理性探讨，友善交流,信用较好,未知,香港大学, ,2022-09-20 07:31:24,22,147,1153,111,25,19,67
7822761817,保玥瑢,其他,女,未认证,普通用户,无,江湖月报特约撰稿人,信用一般,未知,未知,1999-05-05 金牛座,2023-02-24 13:33:31,9,138,830,250,102,2,146
1773458531,做自己啾酱就好,重庆,女,未认证,普通用户,无,（烂人垃圾小偷勿关注）  本人忠于自己，听从本心。专注做自己。less is more. Independent thinking. healthy and happy 1st.,信用极好,未知,厦门理工学院,处女座,2010-07-12 16:42:18,577,1349,3155,774,395,45,334
6445545700,做自己的太阳5555,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2018-01-06 16:23:20,94,5054,7282,171,102,3,66
1755430527,偶卖糕滴被注册了,其他,男,未认证,普通用户,无,游民一个,信用较好,霞飞路,未知, ,2010-06-10 16:38:00,871,1155,11407,6349,"3,789","2,413",147
3025816273,偶遇那时星光,陕西 西安,女,未认证,普通用户,无,在路上,信用较好,未知,未知,2000-09-01 处女座,2012-10-23 13:40:40,166,873,5966,2025,"1,147",429,449
7735607428,元山悦,其他,女,未认证,普通用户,无,共情资本家的打单推厨子的都滚丨不玩如鸢纯吃饭丨非nzd 丨 大量砖里夹杂几则碎碎念日常,信用较好,未知,未知,狮子座,2022-01-14 23:20:17,2,183,3747,419,290,2,127
5855761652,光是温暖,其他,女,未认证,普通用户,无,把每晚的星光纳入眼睛，让自己变得闪亮。,信用较好,未知,未知,2001-08-11 狮子座,2016-02-12 11:33:50,9,420,1155,34,4,0,30
3192945347,兜兜转转原来你还在这里,福建 泉州,女,未认证,未知,无,PANYANFANG,信用极好,未知,未知,1996-10-22 天秤座,2012-12-16 16:57:26,653,456,1846,7920,"4,555",60,"3,305"
6289109559,八万里星空的微凉,新疆 乌鲁木齐,男,未认证,普通用户,无,,信用较好,未知,未知,2000-02-03 水瓶座,2017-06-26 01:24:45,9,518,199,176,12,0,164
5905576578,兮月湘风,内蒙古,女,未认证,普通用户,无,,信用较好,未知,未知, ,2016-04-23 17:45:47,53,828,1346,118,70,10,38
5846224715,兰洲lan,北京,男,未认证,普通用户,无,take it easy,信用较好,未知,未知,1999-04-17 白羊座,2016-02-01 11:22:16,234,117,1315,2358,834,98,"1,426"
1985491923,养生翘楚120,河南,男,未认证,普通用户,无,活出自我,信用较好,未知,未知,2012-02-29 双鱼座,2011-02-23 06:42:20,345,1205,3190,2806,"1,365",80,"1,361"
1918427025,养花新手管家婆,河北 石家庄,女,未认证,普通用户,无,,信用极好,未知,未知,,2011-01-11 21:39:16,276,574,9245,4655,788,"3,503",364
2782961132,养鱼的water,山东 济南,男,未认证,普通用户,无,,信用较好,未知,未知, ,2012-06-06 13:41:29,78,79,6159,192,81,61,50
5964369786,冉子的私生活,山东 济宁,女,未认证,普通用户,无,我就这样真切的感受世间一切 体验万象,信用较好,未知,未知,2004-01-21 水瓶座,2016-06-21 19:51:47,147,1309,2585,2031,"1,101",18,912
6185326048,军军老师,北京,男,未认证,普通用户,无,公考培训师，爱好旅游。。。,信用较好,军军老师,未知,2017-05-06 金牛座,2017-03-28 20:02:40,1030,112,4978,3434,810,373,"2,251"
2937519707,冬眠不觉晓oi,广东 惠州,女,未认证,未知,无,别急🧃 不抱佛脚，什么样就什么样,信用较好,未知,未知,射手座,2012-10-01 21:25:48,48,458,1741,1845,764,19,"1,062"
6293486117,冰岛找鱼,湖北 武汉,男,未认证,普通用户,无,在最美的一瞥吆喝住才热烈,信用较好,未知,未知,双鱼座,2017-06-24 07:43:17,241,433,2097,6229,"2,078",84,"4,067"
1878421922,冰萧_影,江苏 盐城,女,未认证,普通用户,无,,信用极好,盐城市世标皮革机械有限公司,未知,,2010-11-14 09:52:39,134,1497,7427,219,71,81,67
7487878322,冷于热之时,黑龙江 哈尔滨,女,未认证,普通用户,无,The night is still young.,信用较好,未知,未知,2002-03-23 白羊座,2020-08-06 19:45:29,60,72,788,3339,"1,369",169,"1,801"
1496883514,凯雷,北京,男,已认证,名人,资深媒体人 头条文章作者,媒体人「本人微博所表達言論與供職機構立場無關」,信用极好,媒体,中国人民大学,,2009-09-23 22:52:53,2466207,5679,90118,2652.2万,"3,074,833","3,512,415","19,934,764"
6805596436,凶恶群众,其他,男,未认证,普通用户,无,劝天劝地劝自己，望山望水望情人！,信用较好,未知,未知,1990-04-20 金牛座,2018-10-29 01:24:18,159,224,837,1807,36,29,"1,742"
5227802957,刘小花759,河北 沧州,女,未认证,普通用户,无,"make your mine,never leave me alone.",信用较好,未知,未知,1991-06-10 双子座,2014-07-22 15:53:34,265,5131,5777,569,227,19,323
2823820391,刘小鹿露露,广东,女,未认证,普通用户,无,以后日常更新记录生活点滴,信用较好,未知,未知,1992-05-15 金牛座,2012-06-20 08:09:28,119,1118,942,960,66,793,101
5096544837,初十5,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2014-04-02 15:06:41,327,5293,5842,330,227,9,94
7463406273,初恋追粤的老阿姨,湖北 武汉,女,未认证,普通用户,无,,信用较好,未知,未知,1987-07-01 巨蟹座,2020-07-01 09:46:16,29,174,877,1196,701,10,485
5800529130,别再傻啦啊啊啊,湖北 武汉,女,未认证,普通用户,无,静若处子，动若脱兔,信用较好,未知,未知, ,2015-12-20 11:14:08,39,495,14604,66,15,9,42
7840808811,别在互联网当妈,贵州 黔东南,女,未认证,普通用户,无,以前车马慢，一辈子遇不到神经病。现在的网速快，冲会儿浪就进了疯人院！别看，说的就是你！,信用一般,未知,未知,双鱼座,2023-05-25 15:32:08,58,118,360,689,355,1,333
5693414255,到底谁是黑芝麻,其他,女,未认证,普通用户,无,春天啊 请在这里落户,信用较好,未知,未知, ,2015-09-03 16:27:03,39,296,3810,4839,"1,746",65,"3,028"
6377985390,到点也不打烊,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2017-10-07 12:21:45,40,102,235,395,159,1,235
5963479284,前后出师遗表在,天津,女,未认证,普通用户,无,我们都是阴沟里的虫子，但总还是有人仰望星空。,信用较好,未知,未知,1997-11-04 天蝎座,2016-06-20 21:14:55,244,671,13985,337,48,9,280
5315498650,加一把香菜菜,广东 广州,女,未认证,普通用户,无,去更大的世界做更好的自己,信用较好,未知,未知,2000-05-30 双子座,2014-10-01 10:39:25,84,155,747,277,127,1,149
6722654681,加油未来战士,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2018-09-24 21:46:46,56,818,10890,198,75,3,120
2862526732,努力加油奋斗不坠青云之志,湖北,男,未认证,普通用户,无,靖共尔位，好是正直。,信用极好,未知,未知,,2012-07-06 16:57:15,1432,438,21382,979,700,51,228
3753375552,勒了个去2,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2013-08-28 19:19:58,440,41,5120,789,495,239,55
2977551625,勺妲決治,广东,女,未认证,普通用户,无,,信用较好,未知,未知, ,2012-10-04 22:45:12,45,414,872,27,7,2,18
2149903503,包剪槌小飞侠,重庆 渝北区,男,未认证,普通用户,无,品牌策划交流平台，开放、奉献、交流、创新、共赢。,信用较好,未知,未知,1988-03-28 白羊座,2011-05-27 12:32:35,207,472,16,4,0,4,0
5976430791,北极星附近fad,天津 南开区,男,未认证,普通用户,无,我想我很适合，做一个歌颂者,信用较好,未知,吉林大学前卫南区,2020-06-04 双子座,2016-07-06 00:20:36,379,417,1091,3737,"1,014",24,"2,699"
7279409040,北爱尔兰的双子星,其他,女,未认证,普通用户,无,相互信任 各自努力,信用较好,未知,未知,2003-10-25 天蝎座,2019-08-11 13:35:13,14,288,1099,83,27,9,47
2862197594,十歪RURU,湖北,女,未认证,普通用户,无,让无力者有力 让悲观者前行,信用极好,未知,未知,1900-06-14 双子座,2012-07-06 11:36:32,723,356,28858,7万,"4,739","55,611","9,496"
6487391760,千sl,山西 忻州,男,未认证,普通用户,无,,信用较好,未知,未知,狮子座,2018-02-15 11:33:07,2777,95,113,37,23,1,13
7542477442,千秋总是在梦中,其他,男,未认证,普通用户,无,阳光照在海洋上，海洋是没有影子的。,信用较好,未知,未知, ,2020-12-29 10:06:06,16,177,1219,1195,686,9,500
5646965634,千里屠村,江西,男,未认证,普通用户,无,欢迎来到垃圾桶,信用较好,未知,未知,1998-10-04 天秤座,2015-07-04 22:03:34,62,336,709,947,201,402,344
7520560232,半只懒驴,山西 忻州,男,未认证,普通用户,无,小小的人偶，想要摘月亮。,信用较好,未知,未知,狮子座,2020-11-07 19:04:39,43,115,1147,1547,653,79,815
5211697959,半小童话,江苏 宿迁,男,未认证,普通用户,无,大家好，我是个微博新手，多多关照,信用较好,未知,乌海一中,1998-12-03 射手座,2014-07-10 15:36:19,41,210,1429,498,128,2,368
3001134120,单手可持LMG的風,河南 郑州,男,未认证,普通用户,无,Fuck the club,信用较好,未知,未知,1999-09-08 处女座,2012-09-27 12:11:43,271,1446,1354,574,111,59,404
1229647084,南乡老郝,北京 西城区,男,未认证,普通用户,无,摄影人、前媒体人,信用较好,未知,未知,狮子座,2009-09-04 19:24:42,8585,2734,101906,7万,"20,170","27,494","22,189"
2201758794,南京冬律,江苏,男,已认证,名人,法律博主,南京执业律师，如有法律咨询，可私信简略案情初步沟通。,信用极好,未知,未知,1991-08-26 处女座,2011-06-28 22:10:00,48620,11946,26100,10.5万,"33,842","40,265","31,006"
7405848401,南宁江宇世纪公馆,广西,女,未认证,普通用户,无,感谢转发和关注，南宁江宇世纪公馆业主需要您的大力支持！！！,信用较好,江宇世纪公馆,未知,1990-03-03 双鱼座,2020-03-05 09:41:41,76,617,482,1079,194,242,643
5851014911,南枝Nanzhi-,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2016-02-07 09:58:00,21,241,127,4,1,2,1
5639760027,南柯晓生,其他,男,未认证,普通用户,无,全网同名  一位杂谈博主😜   仅仅代表个人观点，算不上什么真理。不喜勿喷哈🤝,信用较好,未知,未知,射手座,2015-06-25 20:44:07,23,197,1979,407,162,119,126
3939254772,南风啊Fz,四川 成都,男,未认证,普通用户,无,总有人间一两风 填我十万八千梦,信用较好,未知,未知,1993-11-23 射手座,2013-12-10 23:41:37,189,200,203,504,199,40,265
1715275203,卜闻卜问卜嗔卜痴,陕西 西安,女,未认证,普通用户,无,爱得深不如目光的浅,信用较好,陕西广播电视台,西北大学,2010-03-20 双鱼座,2010-03-20 23:36:24,424,956,1999,1333,445,265,623
2624391735,卡巴士机,山东 临沂,男,未认证,未知,无,Ever   Never    Forever ~,信用极好,未知,未知,1990-08-09 狮子座,2012-02-21 08:50:39,2421,2137,3617,505,145,123,237
2743079391,卡普钦斯基,北京 朝阳区,女,未认证,普通用户,无,不如我意，是我无量。我不如人意，是我无德。,信用极好,未知,未知,,2012-06-02 21:13:31,697,599,14784,8165,"1,332","4,652","2,181"
2590974823,卡点KING,山西 太原,男,未认证,普通用户,无,都别笑！看我脸色行事！,信用极好,未知,未知,1991-10-21 天秤座,2012-02-02 21:34:03,48,1248,1896,1500,539,26,935
1787430513,厦门同城会,福建,女,未认证,普通用户,无,,信用较好,未知,未知,,2010-08-05 13:37:14,582991,2014,77260,85.9万,"215,907","517,036","126,246"
6404903631,又是捡不到钱的一天,广东 广州,男,未认证,普通用户,无,,信用较好,未知,未知, ,2017-11-07 00:30:51,133,319,125,16,4,3,9
5329530151,又该换昵称,河南 商丘,女,未认证,普通用户,无,别关注我，不互粉,信用较好,未知,北京航空航天大学,白羊座,2014-10-15 00:18:29,196,397,2686,4932,"3,839",30,"1,063"
6044925802,取个名就叫藤原拓海,山东,男,未认证,普通用户,无,,信用较好,未知,未知,2002-08-28 处女座,2016-10-12 21:26:19,213,160,3316,275,234,3,38
5387670750,取什么名都被人取了,福建 福州,女,未认证,普通用户,无,,信用较好,未知,未知,1990-12-21 射手座,2014-11-25 19:58:23,57,2439,55917,868,184,15,669
2170504047,口条捋直,上海 闸北区,男,未认证,普通用户,无,夹紧嗓子发炎,信用较好,未知,未知,狮子座,2011-06-09 16:19:56,225,296,8072,1.6万,"7,634","1,607","6,335"
5416467034,古瓷器掌管睡眠之汪oao,安徽,男,未认证,普通用户,无,不知道 老师没教｜gay（我不是但我要防搜,信用较好,未知,未知, ,2014-12-14 16:26:19,182,856,4271,5858,"3,892",184,"1,782"
6525977362,古道络侠风,山西,女,未认证,普通用户,无,,信用较好,未知,未知,1995-08-11 狮子座,2018-04-12 17:19:11,23,308,1435,190,38,0,152
6882463616,只絪相识,其他,男,未认证,普通用户,无,,信用较好,未知,北京大学,2002-10-23 天秤座,2018-12-12 23:00:04,534,216,5380,177,48,8,121
5534527337,叫爸爸-你不吃亏,陕西,女,未认证,普通用户,无,,信用较好,未知,未知,天蝎座,2015-02-26 00:22:44,303,2984,7759,3101,"1,311",154,"1,636"
6570749898,可乐鸡翅再加点糖,云南 昆明,女,未认证,普通用户,无,生活打不败大口吃饭的人,信用较好,未知,未知,双子座,2018-06-09 15:59:32,661,3913,4902,8750,"3,082",49,"5,619"
7621976704,可怕的熵增,辽宁 沈阳,男,未认证,普通用户,无,,信用较好,未知,未知,摩羯座,2021-06-05 10:00:26,76,171,223,168,16,3,149
7604430347,可爱扛把子1003,其他,女,未认证,普通用户,无,陈立农才是那个唯一💋,信用较好,未知,未知, ,2021-05-05 19:20:21,18,107,1767,880,364,7,509
5092493787,可能回憶掉入了海,福建 厦门,男,未认证,普通用户,无,不望过去，不负未来,信用较好,Grey School of Wizardry,厦门大学,天秤座,2014-04-19 12:42:03,529,120,2164,3806,"1,485",48,"2,273"
6036653514,史海莽撞人,其他,男,未认证,普通用户,无,,信用较好,未知,未知,2016-10-04 天秤座,2016-10-04 10:28:13,44,168,79,93,32,3,58
3163965317,叶吴薛王,北京 东城区,男,未认证,普通用户,无,,信用较好,未知,未知, ,2012-11-23 23:15:43,591,515,18959,1万,"3,826","3,066","3,114"
1638698021,叶小兔,北京 海淀区,女,未认证,未知,无,想说些什么 却说些什么,信用极好,新浪,中国青年政治学院,摩羯座,2009-08-28 16:34:38,3320,1872,5239,2.4万,"4,203","18,322","1,293"
7805609829,叶鸿堃_重启版,四川,男,未认证,普通用户,无,悲观者固然正确，但乐观者更易成功,信用一般,未知,未知,1997-09-25 天秤座,2022-12-02 10:12:08,33,134,731,477,232,5,240
7478077860,叽里咕噜废话篓,河南 郑州,女,未认证,普通用户,无,你好，这里是我的秘密基地～,信用较好,未知,未知,金牛座,2020-07-10 18:20:30,9,1151,1487,930,416,34,480
1626954513,吃完饭就得洗碗这叫生活,其他,女,未认证,普通用户,无,2025，养。举重若轻，这是一个游戏，过犹不及,信用极好,未知,未知,,2010-01-26 00:29:44,1766,2525,97710,1.9万,"8,666","4,046","5,870"
2929462381,合法奇葩6,广东 广州,男,未认证,普通用户,无,,信用较好,未知,未知,1987-05-05 金牛座,2012-10-02 12:31:23,63,406,2669,459,88,3,368
6344996265,吉格斯1998,上海,男,未认证,普通用户,无,,信用较好,未知,未知, ,2017-08-16 11:46:49,477,4450,17375,1004,748,13,243
2691941515,同花顺不回本不改名,其他,男,未认证,普通用户,无,蠢货，我们的事业是正义的！,信用较好,未知,未知,双子座,2012-04-03 07:43:06,18,164,1810,1654,391,"1,102",161
2152248124,名字这么难取的咩,四川 攀枝花,女,未认证,普通用户,无,,信用较好,未知,皇华中学,1963-01-24 水瓶座,2011-05-31 15:50:38,164,389,5393,861,692,134,35
2306253595,后厂村马小马,北京 海淀区,男,未认证,未知,无,本账号主要用来喷,信用极好,未知,未知,摩羯座,2011-08-16 15:19:58,1660,5801,3179,3.4万,"3,948","26,939","2,823"
2029497503,后湾老施,广东,男,已认证,名人,数码博主,快乐的奋斗者,信用极好,未知,南京邮电大学,1900-01-01 摩羯座,2011-03-17 00:21:51,158855,567,26514,89.2万,"251,427","111,084","529,673"
5243930279,向上扬向上看,海外 其他,女,未认证,普通用户,无,慢慢走，慢慢看,信用较好,未知,未知, ,2014-08-07 11:52:34,73,451,9466,238,23,5,210
3470161134,向哼哼,湖北,男,未认证,普通用户,无,脾气好 生人勿扰,信用较好,未知,未知,处女座,2013-05-16 10:40:35,208,361,3185,1万,"5,671",99,"4,553"
1626895061,向天笑blog,山西 太原,女,未认证,普通用户,无,,信用较好,未知,未知,1987-01-29 水瓶座,2011-02-03 16:23:46,393,1396,2686,207,192,0,15
5510662393,向往贝加尔湖传奇,山东 聊城,女,未认证,普通用户,无,,信用极好,未知,未知,1970-01-01 摩羯座,2015-02-06 21:00:22,532,1185,13731,708,194,260,254
6380153750,吴吴吴噢噢,四川,男,未认证,普通用户,无,行动治愈焦虑,信用较好,四川大学,四川大学望江校区,1970-01-01 摩羯座,2017-10-03 16:19:51,434,580,6649,3848,"2,093",85,"1,670"
7103263815,吾侪于此藏修,江苏,女,未认证,普通用户,无,本人不爱看热搜，会关注一些与自己观点重合率高的人，补充一些观点不合但情绪平稳的人以丰富见闻多样性，天雷情绪不稳定的“发疯人。”intj_a,信用较好,未知,未知,1999-06-28 巨蟹座,2019-04-28 23:06:41,27,301,2045,509,141,22,346
6692801856,周zrn,广东,女,未认证,普通用户,无,记一忘三二,信用较好,未知,未知,巨蟹座,2018-09-10 14:11:29,15,86,802,383,80,42,261
2149811663,呼号两拐,北京,男,未认证,普通用户,无,球迷；飞友；中国支持琉球人民要求民族独立的正义呼声，中方始终认为琉球的前途应该由琉球人民自行决定，反对一切形式的外来干涉.,信用较好,未知,未知,,2011-05-27 11:36:49,248,181,6730,2261,459,949,853
5674544360,呼噜打咕噜,其他,女,未认证,普通用户,无,纵有疾风起，人生不言弃。,信用较好,未知,未知,1947-01-01 摩羯座,2015-08-11 19:21:42,289,1974,16398,2882,821,217,"1,844"
7199703437,命运逆转57183,其他,男,未认证,普通用户,无,无,信用较好,无,未知,1985-01-01 摩羯座,2019-06-18 07:28:41,1,1,931,45,10,5,30
6030986914,咕咕噜噜呀-,其他,女,未认证,普通用户,无,未来看,信用较好,未知,未知, ,2016-09-24 13:56:30,7,850,6228,1409,978,154,277
6337127262,咚巴拉散人,江苏 苏州,女,未认证,普通用户,无,,信用较好,未知,未知,2003-01-03 摩羯座,2017-08-04 10:43:46,106,1070,273,269,66,0,203
7473633102,咸鱼爱骑自行车,其他,男,未认证,普通用户,无,,信用一般,未知,未知, ,2020-06-22 19:25:32,46,145,2903,837,334,233,270
1229679797,哆啦A燊,北京,女,未认证,普通用户,无,时事管家,信用极好,未知,未知,1995-07-21 巨蟹座,2009-11-11 16:20:10,5234,3544,15437,3.8万,"16,176","15,816","6,198"
5974052871,哆啦梦里拿个A,北京,女,未认证,普通用户,无,,信用较好,未知,中国农业科学院,双子座,2016-06-30 20:40:33,54,222,262,126,5,0,121
5309927148,哎哟喂也有人注册,湖北,男,未认证,普通用户,无,咚次，哒次。,信用较好,未知,未知,1992-06-23 巨蟹座,2014-09-28 23:03:14,61,4163,1385,30,15,0,15
2044985234,哒啦滴哒滴lets_go_party,北京 崇文区,女,未认证,普通用户,无,去试错，去创造，去热爱，拥抱不确定性,信用较好,未知,未知, ,2011-03-28 20:34:45,514,838,24993,9647,"3,065",818,"5,764"
7404764302,哟本,河北,女,未认证,普通用户,无,饮料鉴赏博主（镇魂防搜）文明的敌人,信用较好,未知,未知,2000-03-03 双鱼座,2020-03-03 10:17:23,155,919,3068,1352,351,106,895
5850706267,唐宋分不清,河南,男,未认证,普通用户,无,感谢关注呀,信用较好,唐潮,中原工学院,1995-12-19 射手座,2016-02-07 00:41:12,130,2846,16204,574,306,6,262
2805205303,唠唠叨叨鸡毛蒜皮,香港,女,未认证,普通用户,无,生活中的鸡毛蒜皮,信用极好,未知,未知,1998-03-03 双鱼座,2012-06-11 00:30:39,678,536,1157,2495,"1,226",33,"1,236"
3236915037,啦啦啦飞侠,其他,男,未认证,普通用户,无,走火入魔,信用较好,未知,赣州三中,,2013-02-04 14:10:59,28,456,71,78,38,23,17
7237626397,啵啵鱼和猫猫头randi-,湖南 长沙,女,未认证,普通用户,无,,信用较好,未知,未知,2002-03-06 双鱼座,2019-07-14 23:52:52,6,408,2952,53,24,0,29
